"No.","Time","Source","Destination","Protocol","Length","Info"
"844","22.966276","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"846","22.966531","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"856","23.966955","::1","::1","MQTT","563","Publish Message [iot/surveillance]"
"860","23.967138","::1","::1","MQTT","562","Publish Message [iot/surveillance]"
"864","23.967618","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"866","23.967713","::1","::1","MQTT","563","Publish Message [iot/surveillance]"
"868","23.968242","::1","::1","MQTT","562","Publish Message [iot/surveillance]"
"872","23.968611","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"876","23.970833","::1","::1","MQTT","556","Publish Message [iot/surveillance]"
"878","23.970958","::1","::1","MQTT","555","Publish Message [iot/surveillance]"
"880","23.971191","::1","::1","MQTT","556","Publish Message [iot/surveillance]"
"882","23.971215","::1","::1","MQTT","554","Publish Message [iot/surveillance]"
"885","23.971572","::1","::1","MQTT","555","Publish Message [iot/surveillance]"
"887","23.971907","::1","::1","MQTT","554","Publish Message [iot/surveillance]"
"891","23.972426","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"893","23.972767","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"899","23.973852","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"901","23.973964","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"905","23.974117","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"907","23.974160","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"909","23.974531","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"911","23.974897","::1","::1","MQTT","558","Publish Message [iot/surveillance]"
"919","24.975880","::1","::1","MQTT","554","Publish Message [iot/surveillance]"
"923","24.976411","::1","::1","MQTT","554","Publish Message [iot/surveillance]"
"924","24.976476","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"929","24.976802","::1","::1","MQTT","556","Publish Message [iot/surveillance]"
"931","24.976936","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"934","24.977154","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"936","24.977453","::1","::1","MQTT","556","Publish Message [iot/surveillance]"
"939","24.978694","::1","::1","MQTT","552","Publish Message [iot/surveillance]"
"940","24.978740","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"945","24.981058","::1","::1","MQTT","554","Publish Message [iot/surveillance]"
"946","24.981118","::1","::1","MQTT","552","Publish Message [iot/surveillance]"
"949","24.981648","::1","::1","MQTT","553","Publish Message [iot/surveillance]"
"950","24.981671","::1","::1","MQTT","554","Publish Message [iot/surveillance]"
"951","24.981845","::1","::1","MQTT","555","Publish Message [iot/surveillance]"
"955","24.981996","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"957","24.982050","::1","::1","MQTT","553","Publish Message [iot/surveillance]"
"961","24.982417","::1","::1","MQTT","555","Publish Message [iot/surveillance]"
"963","24.982740","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"965","24.982874","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"967","24.983167","::1","::1","MQTT","557","Publish Message [iot/surveillance]"
"977","25.985467","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"981","25.985622","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"983","25.986001","::1","::1","MQTT","560","Publish Message [iot/surveillance]"
"987","25.986298","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
"991","25.987154","::1","::1","MQTT","561","Publish Message [iot/surveillance]"
"993","25.987269","::1","::1","MQTT","552","Publish Message [iot/surveillance]"
"997","25.987413","::1","::1","MQTT","561","Publish Message [iot/surveillance]"
"999","25.987444","::1","::1","MQTT","561","Publish Message [iot/surveillance]"
"1001","25.987710","::1","::1","MQTT","552","Publish Message [iot/surveillance]"
"1005","25.988044","::1","::1","MQTT","561","Publish Message [iot/surveillance]"
"1009","25.988552","::1","::1","MQTT","559","Publish Message [iot/surveillance]"
